micro_market,zip_code,property_type,price_bucket,sqft_bucket,beds,baths,n_listings,median_dom_days,p75_dom_days,pct_fast_seller,observed_ratio
27107|single_family|na|2000-2500|3|2,27107,single_family,na,2000-2500,3,2,27,33.0,43.5,66.7,0.0
27403|single_family|na|1000-1500|3|2,27403,single_family,na,1000-1500,3,2,24,33.0,50.5,66.7,0.0
27104|single_family|na|2000-2500|4|2,27104,single_family,na,2000-2500,4,2,22,33.0,40.0,63.6,0.0
27104|single_family|na|3500-4000|4|3,27104,single_family,na,3500-4000,4,3,8,33.0,39.75,62.5,0.0
27408|single_family|na|500-1000|1|1,27408,single_family,na,500-1000,1,1,8,33.0,41.0,62.5,0.0
27401|single_family|na|1000-1500|3|1,27401,single_family,na,1000-1500,3,1,18,33.0,56.25,61.1,0.0
27106|single_family|na|2000-2500|4|2,27106,single_family,na,2000-2500,4,2,33,33.0,54.0,60.6,0.0
27106|townhome|na|1000-1500|2|2,27106,townhome,na,1000-1500,2,2,15,33.0,47.0,60.0,0.0
27107|single_family|na|2500-3000|5|3,27107,single_family,na,2500-3000,5,3,5,33.0,61.0,60.0,0.0
27127|single_family|na|2000-2500|4|3,27127,single_family,na,2000-2500,4,3,5,33.0,42.0,60.0,0.0
27260|single_family|na|500-1000|2|2,27260,single_family,na,500-1000,2,2,5,33.0,117.0,60.0,0.0
27265|single_family|na|1000-1500|2|1,27265,single_family,na,1000-1500,2,1,5,33.0,61.0,60.0,0.0
27408|single_family|na|1500-2000|3|1,27408,single_family,na,1500-2000,3,1,10,33.0,38.75,60.0,0.0
27406|single_family|na|1000-1500|3|2,27406,single_family,na,1000-1500,3,2,27,33.0,59.5,59.3,0.0
27127|single_family|na|2000-2500|4|2,27127,single_family,na,2000-2500,4,2,17,33.0,54.0,58.8,0.0
27104|single_family|na|2500-3000|4|3,27104,single_family,na,2500-3000,4,3,24,33.0,54.0,58.3,0.0
27127|single_family|na|2500-3000|3|2,27127,single_family,na,2500-3000,3,2,12,33.0,45.5,58.3,0.0
27408|single_family|na|2000-2500|4|2,27408,single_family,na,2000-2500,4,2,12,33.0,44.0,58.3,0.0
27103|single_family|na|1000-1500|3|1,27103,single_family,na,1000-1500,3,1,71,33.0,49.5,57.7,0.0
27106|single_family|na|500-1000|2|1,27106,single_family,na,500-1000,2,1,7,33.0,43.5,57.1,0.0
27107|single_family|na|1000-1500|4|2,27107,single_family,na,1000-1500,4,2,7,33.0,40.0,57.1,0.0
27408|single_family|na|3500-4000|4|3,27408,single_family,na,3500-4000,4,3,7,33.0,54.0,57.1,0.0
27127|single_family|na|500-1000|2|1,27127,single_family,na,500-1000,2,1,39,33.0,48.5,56.4,0.0
27127|single_family|na|1500-2000|3|1,27127,single_family,na,1500-2000,3,1,9,33.0,54.0,55.6,0.0
27408|single_family|na|500-1000|2|1,27408,single_family,na,500-1000,2,1,29,33.0,47.0,55.2,0.0
27103|single_family|na|1500-2000|3|1,27103,single_family,na,1500-2000,3,1,20,33.0,57.5,55.0,0.0
27104|single_family|na|1000-1500|2|2,27104,single_family,na,1000-1500,2,2,44,33.0,42.0,54.5,0.0
27127|single_family|na|500-1000|3|1,27127,single_family,na,500-1000,3,1,11,33.0,48.0,54.5,0.0
27408|single_family|na|2500-3000|4|3,27408,single_family,na,2500-3000,4,3,11,33.0,78.0,54.5,0.0
27409|single_family|na|1000-1500|3|2,27409,single_family,na,1000-1500,3,2,15,33.0,48.5,53.3,0.0
27405|single_family|na|1000-1500|3|1,27405,single_family,na,1000-1500,3,1,30,33.5,54.0,70.0,0.0
27101|single_family|na|1000-1500|2|1,27101,single_family,na,1000-1500,2,1,22,33.5,45.5,59.1,0.0
27260|single_family|na|500-1000|2|1,27260,single_family,na,500-1000,2,1,42,33.5,61.0,57.1,0.0
27107|single_family|na|3500-4000|3|2,27107,single_family,na,3500-4000,3,2,18,33.5,71.5,55.6,0.0
27408|single_family|na|1500-2000|3|2,27408,single_family,na,1500-2000,3,2,52,33.5,54.0,51.9,0.0
27106|land|na|na|na|na,27106,land,na,na,na,na,9,34.0,56.0,66.7,0.0
27103|townhome|na|1000-1500|3|2,27103,townhome,na,1000-1500,3,2,15,34.0,47.0,60.0,0.0
27107|mobile|na|1000-1500|3|2,27107,mobile,na,1000-1500,3,2,5,34.0,40.0,60.0,0.0
27405|townhome|na|1500-2000|3|2,27405,townhome,na,1500-2000,3,2,5,34.0,72.0,60.0,0.0
27107|single_family|na|500-1000|2|1,27107,single_family,na,500-1000,2,1,55,34.0,68.0,52.7,0.0
27408|single_family|na|1000-1500|3|1,27408,single_family,na,1000-1500,3,1,21,34.0,61.0,52.4,0.0
27101|single_family|na|1500-2000|4|2,27101,single_family,na,1500-2000,4,2,8,34.5,60.0,62.5,0.0
27107|single_family|na|1500-2000|3|1,27107,single_family,na,1500-2000,3,1,16,34.5,55.75,56.2,0.0
27127|townhome|na|1000-1500|2|2,27127,townhome,na,1000-1500,2,2,36,34.5,51.0,52.8,0.0
27106|single_family|na|3000-3500|5|3,27106,single_family,na,3000-3500,5,3,5,35.0,35.0,80.0,0.0
27127|single_family|na|3500-4000|3|2,27127,single_family,na,3500-4000,3,2,8,35.0,44.25,62.5,0.0
27104|single_family|na|1000-1500|3|2,27104,single_family,na,1000-1500,3,2,60,35.0,50.75,53.3,0.0
27455|single_family|na|2000-2500|4|2,27455,single_family,na,2000-2500,4,2,19,35.0,74.0,52.6,0.0
27105|single_family|na|500-1000|2|1,27105,single_family,na,500-1000,2,1,61,35.0,52.0,52.5,0.0
27104|single_family|na|1000-1500|4|2,27104,single_family,na,1000-1500,4,2,6,35.0,47.0,50.0,0.0
27408|single_family|na|2500-3000|4|2,27408,single_family,na,2500-3000,4,2,5,35.0,54.0,40.0,0.0
27409|single_family|na|2000-2500|4|2,27409,single_family,na,2000-2500,4,2,6,35.5,39.0,66.7,0.0
27103|single_family|na|2000-2500|4|2,27103,single_family,na,2000-2500,4,2,22,35.5,54.0,59.1,0.0
27407|single_family|na|1000-1500|3|1,27407,single_family,na,1000-1500,3,1,26,35.5,54.0,57.7,0.0
27409|single_family|na|1000-1500|2|2,27409,single_family,na,1000-1500,2,2,70,35.5,51.5,57.1,0.0
27103|single_family|na|1000-1500|2|1,27103,single_family,na,1000-1500,2,1,28,35.5,54.0,53.6,0.0
27104|single_family|na|1500-2000|3|3,27104,single_family,na,1500-2000,3,3,6,35.5,49.5,50.0,0.0
27405|single_family|na|500-1000|2|1,27405,single_family,na,500-1000,2,1,18,36.0,53.0,66.7,0.0
27104|townhome|na|1000-1500|2|1,27104,townhome,na,1000-1500,2,1,7,36.0,40.0,57.1,0.0
27263|single_family|na|500-1000|2|1,27263,single_family,na,500-1000,2,1,14,36.0,62.75,57.1,0.0
27406|single_family|na|2000-2500|3|2,27406,single_family,na,2000-2500,3,2,18,36.0,58.5,55.6,0.0
27105|single_family|na|1500-2000|4|2,27105,single_family,na,1500-2000,4,2,11,36.0,93.0,54.5,0.0
27104|single_family|na|1000-1500|2|1,27104,single_family,na,1000-1500,2,1,13,36.0,54.0,53.8,0.0
27103|single_family|na|1500-2000|3|2,27103,single_family,na,1500-2000,3,2,134,36.0,53.5,53.7,0.0
27408|single_family|na|1000-1500|2|2,27408,single_family,na,1000-1500,2,2,10,36.0,46.0,50.0,0.0
27408|single_family|na|2000-2500|3|2,27408,single_family,na,2000-2500,3,2,15,36.0,59.5,46.7,0.0
27106|single_family|na|2500-3000|4|2,27106,single_family,na,2500-3000,4,2,14,36.5,40.0,57.1,0.0
27103|townhome|na|1500-2000|3|2,27103,townhome,na,1500-2000,3,2,12,36.5,51.5,50.0,0.0
27104|townhome|na|1500-2000|3|2,27104,townhome,na,1500-2000,3,2,16,36.5,77.5,50.0,0.0
27401|single_family|na|1000-1500|3|2,27401,single_family,na,1000-1500,3,2,46,37.0,60.0,65.2,0.0
27104|single_family|na|3000-3500|5|3,27104,single_family,na,3000-3500,5,3,5,37.0,40.0,60.0,0.0
27106|single_family|na|1500-2000|3|3,27106,single_family,na,1500-2000,3,3,10,37.0,52.5,60.0,0.0
27104|townhome|na|1000-1500|3|2,27104,townhome,na,1000-1500,3,2,9,37.0,47.0,55.6,0.0
27103|townhome|na|1000-1500|2|2,27103,townhome,na,1000-1500,2,2,41,37.0,68.0,53.7,0.0
